== Suppressed Messages ==

# The following will be supported in future releases/patches
ERROR: PlanDefinition/opioidcds-01.json: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-02: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-03: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-04: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-04-patient-view: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-05: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-06: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-07: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-08: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-08-order-sign: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-09: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-10: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-10-order-sign: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-10-patient-view: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-11: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-11-patient-view: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])
ERROR: PlanDefinition/opioidcds-12-patient-view: PlanDefinition: The modifier extension http://hl7.org/fhir/us/cqfmeasures/StructureDefinition/cqfm-effectiveDataRequirements is not allowed to be used at this point (allowed = e:Measure; this element is [[PlanDefinition])

# The following is caused by the opioid-misuse-assessment-procedure valueset using a more recent version of snomed than http://tx.fhir.org/r4/ 
ERROR: ActivityDefinition/opioidcds-risk-assessment-request: ActivityDefinition.code.coding[0]: Unable to find code 454281000124100 in http://snomed.info/sct (version http://snomed.info/sct/900000000000207008/version/20210731); The code "454281000124100" is not valid in the system http://snomed.info/sct; The code provided (http://snomed.info/sct#454281000124100) is not valid in the value set 'All codes known to the system' (from http://tx.fhir.org/r4) for 'http://snomed.info/sct#454281000124100'

# The following do resolve
ERROR: output/Library-OMTKData.html#/html/body/div/div/div/div/div/p/p/a at Line 236, column 55: The link 'http://build.fhir.org/ig/cqframework/opioid-cds-r4/service-documentation.html#solution-component-1-medication-and-terminology-knowledge-base' for "here" cannot be resolved
ERROR: output/artifacts.html#/html/body/div/div/div/div/div/div/p/table/tbody/tr/td/p/a at Line 1200, column 56: The link 'http://build.fhir.org/ig/cqframework/opioid-cds-r4/service-documentation.html#solution-component-1-medication-and-terminology-knowledge-base' for "here" cannot be resolved
ERROR: output/registry.html#/html/body/div/div/div/div/div/div/table/tbody/tr/td/p/a at Line 177, column 55: The link 'http://build.fhir.org/ig/cqframework/opioid-cds-r4/service-documentation.html#solution-component-1-medication-and-terminology-knowledge-base' for "here" cannot be resolved

# The following are caused by contained resources within the PlanDefinition resources
ERROR: output/Library-opioidcds-01_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-01_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-01_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-01_effective-data-requirements.json.html' for "JSON" cannot be resolved
ERROR: output/Library-opioidcds-01_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 161, column 8: The link 'Library-opioidcds-01_effective-data-requirements.ttl.html' for "TTL" cannot be resolved
ERROR: output/Library-opioidcds-02_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-02_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-02_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-02_effective-data-requirements.json.html' for "JSON" cannot be resolved
ERROR: output/Library-opioidcds-02_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 161, column 8: The link 'Library-opioidcds-02_effective-data-requirements.ttl.html' for "TTL" cannot be resolved
ERROR: output/Library-opioidcds-03_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-03_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-03_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-03_effective-data-requirements.json.html' for "JSON" cannot be resolved
ERROR: output/Library-opioidcds-03_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 161, column 8: The link 'Library-opioidcds-03_effective-data-requirements.ttl.html' for "TTL" cannot be resolved
ERROR: output/Library-opioidcds-04-patient-view_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-04-patient-view_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-04-patient-view_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-04-patient-view_effective-data-requirements.json.html' for "JSON" cannot be resolved
ERROR: output/Library-opioidcds-04-patient-view_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 161, column 8: The link 'Library-opioidcds-04-patient-view_effective-data-requirements.ttl.html' for "TTL" cannot be resolved
ERROR: output/Library-opioidcds-04_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-04_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-04_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-04_effective-data-requirements.json.html' for "JSON" cannot be resolved
ERROR: output/Library-opioidcds-04_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 161, column 8: The link 'Library-opioidcds-04_effective-data-requirements.ttl.html' for "TTL" cannot be resolved
ERROR: output/Library-opioidcds-05_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-05_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-05_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-05_effective-data-requirements.json.html' for "JSON" cannot be resolved
ERROR: output/Library-opioidcds-05_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 161, column 8: The link 'Library-opioidcds-05_effective-data-requirements.ttl.html' for "TTL" cannot be resolved
ERROR: output/Library-opioidcds-06_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 147, column 8: The link 'Library-opioidcds-06_effective-data-requirements.xml.html' for "XML" cannot be resolved
ERROR: output/Library-opioidcds-06_effective-data-requirements.html#/html/body/div/div/div/div/div/ul/li/a at Line 154, column 8: The link 'Library-opioidcds-06_effective-data-requirements.json.html' for "JSON" cannot be resolved
